asof_date,universe_count,price_eligible_count,missing_price_count,coverage_pct,coverage_quality,advances,declines,unchanged,net_advances,advance_decline_ratio,pct_advancing,pct_declining,cumulative_ad_line,point_in_time_reconstructed,membership_source,membership_quality,cross_validated,pit_perfect,price_source,price_quality,price_pit_perfect,research_only,decision_engine_ready,trading_signal,forecast,record_id
2023-12-13,503,479,24,95.2286,GOOD,435,44,0,391,9.886364,90.814196,9.185804,23835.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231213
2023-12-14,503,479,24,95.2286,GOOD,308,170,1,138,1.811765,64.300626,35.490605,23973.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231214
2023-12-15,503,479,24,95.2286,GOOD,121,357,1,-236,0.338936,25.26096,74.530271,23737.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231215
2023-12-18,503,480,23,95.4274,GOOD,272,206,2,66,1.320388,56.666667,42.916667,23803.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231218
2023-12-19,503,480,23,95.4274,GOOD,381,96,3,285,3.96875,79.375,20.0,24088.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231219
2023-12-20,503,480,23,95.4274,GOOD,19,461,0,-442,0.041215,3.958333,96.041667,23646.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231220
2023-12-21,503,480,23,95.4274,GOOD,438,39,3,399,11.230769,91.25,8.125,24045.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231221
2023-12-22,503,480,23,95.4274,GOOD,356,118,6,238,3.016949,74.166667,24.583333,24283.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231222
2023-12-26,503,480,23,95.4274,GOOD,396,83,1,313,4.771084,82.5,17.291667,24596.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231226
2023-12-27,503,480,23,95.4274,GOOD,286,191,3,95,1.497382,59.583333,39.791667,24691.0,True,FREE_PUBLIC_RECONSTRUCTION,RESEARCH_GRADE,True,False,YAHOO_FINANCE_YFINANCE,FREE_PUBLIC_RESEARCH_GRADE,False,True,False,False,False,MB_20231227
