record_id,indicator,agency,release_date,reference_period,point_in_time_safe,quality_issues,historical_consensus_available
bba50ad14c425a2d,ISM_MANUFACTURING_PMI,ISM,2023-04-03,March 2023,True,,False
9806e17e015ba159,NFP,BLS,2023-04-07,March 2023,True,,False
f35335608b4ef1ab,UNEMPLOYMENT_RATE,BLS,2023-04-07,March 2023,True,,False
6b250c9c80553a9d,CORE_CPI,BLS,2023-04-12,March 2023,True,,False
14d85eeeba6f605c,CPI,BLS,2023-04-12,March 2023,True,,False
02149b975e31c266,GDP,BEA,2023-04-27,Q1 2023 — Advance Estimate,True,,False
4e2cafa17e8b1b99,ISM_MANUFACTURING_PMI,ISM,2023-05-01,April 2023,True,,False
45835d1d1cdfcf15,NFP,BLS,2023-05-05,April 2023,True,,False
6ce21d2d94ee6018,UNEMPLOYMENT_RATE,BLS,2023-05-05,April 2023,True,,False
dd4ab80eb0a73994,CORE_CPI,BLS,2023-05-10,April 2023,True,,False
9dcc48992023d4ff,CPI,BLS,2023-05-10,April 2023,True,,False
34b4ac6bc1605ca8,GDP,BEA,2023-05-25,Q1 2023 — Second Estimate,True,,False
368c24d968b818f4,ISM_MANUFACTURING_PMI,ISM,2023-06-01,May 2023,True,,False
16a4ad6dbac79b5d,NFP,BLS,2023-06-02,May 2023,True,,False
64cdff2d8ed11c34,UNEMPLOYMENT_RATE,BLS,2023-06-02,May 2023,True,,False
569ed2ce95970ca4,CORE_CPI,BLS,2023-06-13,May 2023,True,,False
98fc8e5909e9a926,CPI,BLS,2023-06-13,May 2023,True,,False
499665e61e3df0b1,GDP,BEA,2023-06-29,Q1 2023 — Third Estimate,True,,False
dd447a37ddc4fcab,ISM_MANUFACTURING_PMI,ISM,2023-07-03,June 2023,True,,False
6e8dbc2d45016d40,NFP,BLS,2023-07-07,June 2023,True,,False
c34858a9edba43ae,UNEMPLOYMENT_RATE,BLS,2023-07-07,June 2023,True,,False
736befff67673f88,CORE_CPI,BLS,2023-07-12,June 2023,True,,False
3cdad6b40e757bd2,CPI,BLS,2023-07-12,June 2023,True,,False
7010baccf0967576,GDP,BEA,2023-07-27,Q2 2023 — Advance Estimate,True,,False
4db15537912cb06f,ISM_MANUFACTURING_PMI,ISM,2023-08-01,July 2023,True,,False
d3fa81388258aede,NFP,BLS,2023-08-04,July 2023,True,,False
ad6ace9fbf4a4b26,UNEMPLOYMENT_RATE,BLS,2023-08-04,July 2023,True,,False
76b5b787a98b5e48,CORE_CPI,BLS,2023-08-10,July 2023,True,,False
5fe46fac647efecd,CPI,BLS,2023-08-10,July 2023,True,,False
2c843791d4ee1838,GDP,BEA,2023-08-30,Q2 2023 — Second Estimate,True,,False
94050a89fa793037,ISM_MANUFACTURING_PMI,ISM,2023-09-01,August 2023,True,,False
fec0d9083424bf7c,NFP,BLS,2023-09-01,August 2023,True,,False
e599bef2c447a30e,UNEMPLOYMENT_RATE,BLS,2023-09-01,August 2023,True,,False
96345beb30af4d23,CORE_CPI,BLS,2023-09-13,August 2023,True,,False
43205209ed6ab62c,CPI,BLS,2023-09-13,August 2023,True,,False
3fcf3dbcf37a8054,GDP,BEA,2023-09-28,Q2 2023 — Third Estimate,True,,False
2c5491bd2ed03ede,ISM_MANUFACTURING_PMI,ISM,2023-10-02,September 2023,True,,False
